,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
0,2004,24,TAM,,2.0,5,2,1-1-0,42,73,57.5,467,1,1.4,3,4.1,75,6.4,4.8,11.1,93.4,64.1,10,75,12.0,4.72,3.34,,,1,210,21,,
1,2005,25,TAM,QB,2.0,11,10,6-4-0,191,313,61.0,2035,10,3.2,7,2.2,78,6.5,6.1,10.7,185.0,81.4,29,205,8.5,5.35,5.01,3.0,3.0,6,210,107,,
2,2006,26,TAM,,2.0,3,3,0-3-0,58,106,54.7,585,1,0.9,7,6.6,55,5.5,2.7,10.1,195.0,46.3,4,32,3.6,5.03,2.35,,,1,210,28,,34.1
3,2008,28,TEN,,8.0,1,0,,1,2,50.0,7,0,0.0,0,0.0,7,3.5,3.5,7.0,7.0,58.3,1,10,33.3,-1.0,-1.0,,,0,210,1,,3.9
4,2009,29,DEN,,2.0,3,1,0-1-0,5,17,29.4,23,0,0.0,1,5.9,7,1.4,-1.3,4.6,7.7,15.1,5,39,22.7,-0.73,-2.77,,,0,210,1,,1.5
5,Career,Career,,,,23,16,7-9-0,297,511,58.1,3117,12,2.3,18,3.5,78,6.1,5.0,10.5,135.5,69.1,49,361,8.8,4.92,3.9,3.0,3.0,8,210,158,,
6,3 yrs,3 yrs,TAM,,,19,15,7-8-0,291,492,59.1,3087,12,2.4,17,3.5,78,6.3,5.2,10.6,162.5,71.2,43,312,8.0,5.19,4.21,3.0,3.0,8,210,156,,
7,1 yr,1 yr,DEN,,,3,1,0-1-0,5,17,29.4,23,0,0.0,1,5.9,7,1.4,-1.3,4.6,7.7,15.1,5,39,22.7,-0.73,-2.77,,,0,210,1,,
8,1 yr,1 yr,TEN,,,1,0,,1,2,50.0,7,0,0.0,0,0.0,7,3.5,3.5,7.0,7.0,58.3,1,10,33.3,-1.0,-1.0,,,0,210,1,,
0,1964,22,PIT,,16.0,1,0,,1,3,33.3,7,0,0.0,0,0.0,7,2.3,2.3,7.0,7.0,42.4,0,0,0.0,2.33,2.33,,,0,211,,,
1,1965,23,PIT,,16.0,4,2,0-2-0,33,66,50.0,463,2,3.0,13,19.7,49,7.0,-1.2,14.0,115.8,43.5,17,168,20.5,3.55,-3.01,,,1,211,,,
2,Career,Career,,,,5,2,0-2-0,34,69,49.3,470,2,2.9,13,18.8,49,6.8,-1.1,13.8,94.0,41.6,17,168,19.8,3.51,-2.83,,,1,211,,,
0,2006*,23,TEN,QB,10.0,15,13,8-5-0,184,357,51.5,2199,12,3.4,13,3.6,53,6.2,5.2,12.0,146.6,66.7,25,129,6.5,5.42,4.52,4.0,5.0,9,212,107,"AP ORoY-1, PB",56.1
1,2007,24,TEN,QB,10.0,15,15,9-6-0,238,382,62.3,2546,9,2.4,17,4.5,73,6.7,5.1,10.7,169.7,71.1,25,157,6.1,5.87,4.43,,,9,212,143,,46.9
2,2008,25,TEN,,10.0,3,1,1-0-0,22,36,61.1,219,1,2.8,2,5.6,54,6.1,4.1,10.0,73.0,64.5,3,13,7.7,5.28,3.49,,,1,212,9,,5.3
3,2009*,26,TEN,QB,10.0,12,10,8-2-0,152,259,58.7,1879,10,3.9,7,2.7,66,7.3,6.8,12.4,156.6,82.8,9,36,3.4,6.88,6.45,3.0,6.0,8,212,91,"AP CPoY-3, PB",69.6
4,2010,27,TEN,QB,10.0,9,8,4-4-0,93,156,59.6,1255,10,6.4,3,1.9,71,8.0,8.5,13.5,139.4,98.6,13,80,7.7,6.95,7.34,0.0,1.0,6,212,58,,59.4
5,2011,28,PHI,,9.0,6,3,1-2-0,66,114,57.9,866,4,3.5,9,7.9,58,7.6,4.7,13.1,144.3,60.8,8,34,6.6,6.82,4.16,0.0,1.0,3,212,39,,40.3
6,Career,Career,,,,60,50,31-19-0,755,1304,57.9,8964,46,3.5,51,3.9,73,6.9,5.8,11.9,149.4,74.4,83,449,6.0,6.14,5.15,7.0,13.0,36,212,447,,
7,5 yrs,5 yrs,TEN,,,54,47,30-17-0,689,1190,57.9,8098,42,3.5,42,3.5,73,6.8,5.9,11.8,150.0,75.7,75,415,5.9,6.07,5.24,7.0,12.0,33,212,408,,
8,1 yr,1 yr,PHI,,,6,3,1-2-0,66,114,57.9,866,4,3.5,9,7.9,58,7.6,4.7,13.1,144.3,60.8,8,34,6.6,6.82,4.16,0.0,1.0,3,212,39,,
0,2004,25,NYJ,,5.0,1,0,,5,9,55.6,60,0,0.0,0,0.0,26,6.7,6.7,12.0,60.0,76.2,1,8,10.0,5.2,5.2,,,0,213,2,,
1,2005,26,NYJ,QB,5.0,11,9,2-7-0,150,266,56.4,1558,7,2.6,6,2.3,60,5.9,5.4,10.4,141.6,72.9,32,193,10.7,4.58,4.14,1.0,0.0,5,213,78,,
2,2006,27,MIN,,9.0,2,0,,13,18,72.2,146,0,0.0,1,5.6,50,8.1,5.6,11.2,73.0,72.9,6,42,25.0,4.33,2.46,,,0,213,7,,30.9
3,2007,28,MIN,,9.0,5,1,0-1-0,33,50,66.0,391,1,2.0,1,2.0,50,7.8,7.3,11.8,78.2,88.0,7,36,12.3,6.23,5.79,1.0,1.0,1,213,18,,41.5
4,2008,29,DAL,,5.0,2,0,,10,17,58.8,71,1,5.9,1,5.9,24,4.2,2.7,7.1,35.5,63.6,3,22,15.0,2.45,1.2,,,0,213,4,,16.2
5,Career,Career,,,,21,10,2-8-0,211,360,58.6,2226,9,2.5,9,2.5,60,6.2,5.6,10.5,106.0,74.6,49,301,12.0,4.71,4.16,2.0,1.0,6,213,109,,
6,2 yrs,2 yrs,MIN,,,7,1,0-1-0,46,68,67.6,537,1,1.5,2,2.9,50,7.9,6.9,11.7,76.7,84.0,13,78,16.0,5.67,4.8,1.0,1.0,1,213,25,,
7,2 yrs,2 yrs,NYJ,,,12,9,2-7-0,155,275,56.4,1618,7,2.5,6,2.2,60,5.9,5.4,10.4,134.8,73.0,33,201,10.7,4.6,4.18,1.0,0.0,5,213,80,,
8,1 yr,1 yr,DAL,,,2,0,,10,17,58.8,71,1,5.9,1,5.9,24,4.2,2.7,7.1,35.5,63.6,3,22,15.0,2.45,1.2,,,0,213,4,,
0,1974,24,NWE,,15.0,14,0,,1,1,100.0,20,0,0.0,0,0.0,20,20.0,20.0,20.0,1.4,118.7,0,0,0.0,20.0,20.0,,,0,214,,,
1,1975,25,NWE,,15.0,11,2,0-2-0,18,35,51.4,221,2,5.7,3,8.6,31,6.3,3.6,12.3,20.1,54.6,4,34,10.3,4.79,2.36,,,1,214,,,
2,1977,27,PIT,,16.0,4,0,,6,12,50.0,47,0,0.0,0,0.0,21,3.9,3.9,7.8,11.8,60.1,1,10,7.7,2.85,2.85,,,0,214,,,
3,Career,Career,,,,29,2,0-2-0,25,48,52.1,288,2,4.2,3,6.3,31,6.0,4.0,11.5,9.9,58.3,5,44,9.4,4.6,2.81,,,1,214,,,
4,2 yrs,2 yrs,NWE,,,25,2,0-2-0,19,36,52.8,241,2,5.6,3,8.3,31,6.7,4.1,12.7,9.6,57.8,4,34,10.0,5.18,2.8,,,1,214,,,
5,1 yr,1 yr,PIT,,,4,0,,6,12,50.0,47,0,0.0,0,0.0,21,3.9,3.9,7.8,11.8,60.1,1,10,7.7,2.85,2.85,,,0,214,,,
0,1949,22,GNB,qb,39.0,12,1,,26,106,24.5,355,1,0.9,14,13.2,42,3.3,-2.4,13.7,29.6,4.6,,,,,,0,0,,215,,,
1,Career,Career,,,,12,1,,26,106,24.5,355,1,0.9,14,13.2,42,3.3,-2.4,13.7,29.6,4.6,,,,,,0,0,,215,,,
0,1962,23,RAM,,9.0,6,1,0-1-0,17,43,39.5,250,1,2.3,1,2.3,55,5.8,5.2,14.7,41.7,57.3,,,,,,,,1,216,,,
1,Career,Career,,,,6,1,0-1-0,17,43,39.5,250,1,2.3,1,2.3,55,5.8,5.2,14.7,41.7,57.3,,,,,,,,1,216,,,
0,2004,24,IND,,12.0,4,0.0,,17,29,58.6,175,2,6.9,0,0.0,71,6.0,7.4,10.3,43.8,99.1,1,8,3.3,5.57,6.9,,,1,217,6.0,,
1,2005,25,IND,,12.0,5,0.0,,42,61,68.9,444,3,4.9,1,1.6,45,7.3,7.5,10.6,88.8,99.4,3,14,4.7,6.72,6.95,,,2,217,20.0,,
2,2006,26,IND,,12.0,1,0.0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,217,,,
3,2007,27,IND,,12.0,4,0.0,,18,36,50.0,132,1,2.8,0,0.0,12,3.7,4.2,7.3,33.0,68.3,2,15,5.3,3.08,3.61,,,1,217,7.0,,19.3
4,2008,28,IND,,12.0,1,0.0,,22,30,73.3,178,0,0.0,0,0.0,33,5.9,5.9,8.1,178.0,87.9,0,0,0.0,5.93,5.93,,,1,217,10.0,,85.9
5,2009,29,IND,,12.0,1,0.0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,217,,,
6,Career,Career,,,,16,,,99,156,63.5,929,6,3.8,1,0.6,71,6.0,6.4,9.4,58.1,89.9,6,37,3.7,5.51,5.97,,,5,217,43.0,,
0,2013,26,GNB,,16.0,3,2,0-1-1,55,90,61.1,717,1,1.1,5,5.6,52,8.0,5.7,13.0,239.0,66.8,3,26,3.2,7.43,5.23,,,2,218,29.0,,25.5
1,2015,28,GNB,,16.0,3,0,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.0,4.0,1.3,83.3,1,8,50.0,-2.0,-2.0,,,0,218,,,0.1
2,2016,29,IND,,16.0,3,1,0-1-0,23,37,62.2,216,1,2.7,2,5.4,32,5.8,3.9,9.4,72.0,64.7,3,21,7.5,4.88,3.13,,,1,218,13.0,,26.8
3,2017,30,IND,,16.0,1,1,0-1-0,9,18,50.0,128,0,0.0,2,11.1,32,7.1,2.1,14.2,128.0,33.8,4,29,18.2,4.5,0.41,,,0,218,5.0,,11.5
4,Career,Career,,,,10,4,0-3-1,88,146,60.3,1065,2,1.4,9,6.2,52,7.3,4.8,12.1,106.5,61.6,11,84,7.0,6.25,3.92,,,3,218,47.0,,
5,2 yrs,2 yrs,GNB,,,6,2,0-1-1,56,91,61.5,721,1,1.1,5,5.5,52,7.9,5.7,12.9,120.2,67.1,4,34,4.2,7.23,5.07,,,2,218,29.0,,
6,2 yrs,2 yrs,IND,,,4,2,0-2-0,32,55,58.2,344,1,1.8,4,7.3,32,6.3,3.3,10.8,86.0,52.4,7,50,11.3,4.74,2.16,,,1,218,18.0,,
0,1963,24,MIN,,11.0,6,1,1-0-0,27,58,46.6,376,1,1.7,2,3.4,53,6.5,5.3,13.9,62.7,59.3,9,70,13.4,4.57,3.52,,,2,219,,,
1,1964,25,MIN,,15.0,5,0,,7,19,36.8,78,0,0.0,1,5.3,18,4.1,1.7,11.1,15.6,28.0,2,45,9.5,1.57,-0.57,,,0,219,,,
2,1965,26,MIN,,15.0,4,0,,18,40,45.0,252,2,5.0,0,0.0,38,6.3,7.3,14.0,63.0,82.5,7,65,14.9,3.98,4.83,,,1,219,,,
3,1966,27,MIN,,15.0,3,1,0-1-0,10,20,50.0,147,0,0.0,1,5.0,43,7.4,5.1,14.7,49.0,53.5,1,9,4.8,6.57,4.43,,,1,219,,,
4,1967,28,MIN,,15.0,11,3,0-3-0,45,115,39.1,522,3,2.6,7,6.1,42,4.5,2.3,11.6,47.5,36.9,6,35,5.0,4.02,1.92,,,2,219,,,
5,Career,Career,,,,29,5,1-4-0,107,252,42.5,1375,6,2.4,11,4.4,53,5.5,4.0,12.9,47.4,50.0,25,224,9.0,4.16,2.8,,,6,219,,,
0,2012*,24,SEA,QB,3.0,16,16,11-5-0,252,393,64.1,3118,26,6.6,10,2.5,67,7.9,8.1,12.4,194.9,100.0,33,203,7.7,6.84,7.01,3,4,16,220,153,"AP ORoY-3, PB",72.7
1,2013*,25,SEA,QB,3.0,16,16,13-3-0,257,407,63.1,3357,26,6.4,9,2.2,80,8.2,8.5,13.1,209.8,101.2,44,272,9.8,6.84,7.1,3,4,17,220,157,"AP OPoY-4, PB",67.2
2,2014*,26,SEA,QB,3.0,16,16,12-4-0,285,452,63.1,3475,20,4.4,7,1.5,80,7.7,7.9,12.2,217.2,95.0,42,242,8.5,6.54,6.72,1,4,19,220,161,PB,71.5
3,2015*,27,SEA,QB,3.0,16,16,10-6-0,329,483,68.1,4024,34,7.0,8,1.7,80,8.3,9.0,12.2,251.5,110.1,45,265,8.5,7.12,7.73,2,2,19,220,190,"AP OPoY-3, PB",68.6
4,2016,28,SEA,QB,3.0,16,16,10-5-1,353,546,64.7,4219,21,3.8,11,2.0,59,7.7,7.6,12.0,263.7,92.6,41,293,7.0,6.69,6.56,4,3,14,220,193,,57.1
5,2017*,29,SEA,QB,3.0,16,16,9-7-0,339,553,61.3,3983,34,6.1,11,2.0,74,7.2,7.5,11.7,248.9,95.4,43,322,7.2,6.14,6.45,2,2,15,220,189,PB,61.9
6,2018*,30,SEA,QB,3.0,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9.0,12.3,215.5,110.9,51,355,10.7,6.47,7.28,2,4,14,220,162,PB,63.3
7,2019*,31,SEA,QB,3.0,16,16,11-5-0,341,516,66.1,4110,31,6.0,5,1.0,60,8.0,8.7,12.1,256.9,106.3,48,319,8.5,6.72,7.42,4,5,15,220,190,"AP OPoY-4, AP2, PB",71.5
8,2020*,32,SEA,QB,3.0,16,16,12-4-0,384,558,68.8,4212,40,7.2,13,2.3,62,7.5,7.9,11.0,263.3,105.1,47,301,7.8,6.46,6.82,3,3,17,220,213,PB,67.1
9,2021*,33,SEA,QB,3.0,14,14,6-8-0,259,400,64.8,3113,25,6.3,6,1.5,69,7.8,8.4,12.0,222.4,103.1,33,266,7.6,6.58,7.11,0,1,12,220,135,PB,54.7
10,Career,Career,,,,158,158,104-53-1,3079,4735,65.0,37059,292,6.2,87,1.8,80,7.8,8.2,12.0,234.6,101.8,427,2838,8.3,6.63,7.0,24,32,158,220,1743,,
0,1984,23,GNB,,16.0,8,1,1-0-0,27,62,43.5,310,2,3.2,6,9.7,56,5.0,1.3,11.5,38.8,30.4,4,17,6.1,4.44,0.95,,,1,221,,,
1,1985,24,GNB,,16.0,5,1,0-1-0,39,74,52.7,552,2,2.7,4,5.4,38,7.5,5.6,14.2,110.4,63.6,8,67,9.8,5.91,4.21,1.0,1.0,2,221,,,
2,1986,25,GNB,QB,16.0,16,16,4-12-0,263,492,53.5,3247,17,3.5,23,4.7,62,6.6,5.2,12.3,202.9,66.2,33,243,6.3,5.72,4.4,0.0,0.0,8,221,,,
3,1987,26,GNB,QB,16.0,9,7,1-6-0,132,247,53.4,1507,6,2.4,11,4.5,66,6.1,4.6,11.4,167.4,61.6,20,128,7.5,5.16,3.76,0.0,1.0,3,221,,,
4,1988,27,GNB,qb,16.0,8,7,1-6-0,141,244,57.8,1490,4,1.6,13,5.3,51,6.1,4.0,10.6,186.3,58.9,20,148,7.6,5.08,3.17,,,1,221,,,
5,Career,Career,,,,46,32,7-25-0,602,1119,53.8,7106,31,2.8,57,5.1,66,6.4,4.6,11.8,154.5,61.4,85,603,7.1,5.4,3.79,1.0,2.0,15,221,,,
0,2018,22,CAR,,7.0,2,1,1-0-0,20,31,64.5,266,2,6.5,0,0.0,53,8.6,9.9,13.3,133.0,113.1,0,0,0.0,8.58,9.87,,,1,222,11,,95.2
1,2019,23,CAR,QB,7.0,13,12,5-7-0,303,489,62.0,3322,17,3.5,16,3.3,52,6.8,6.0,11.0,255.5,80.0,46,397,8.6,5.47,4.76,0.0,1.0,7,222,188,,38.3
2,2020,24,WAS,,8.0,4,4,1-3-0,60,87,69.0,610,4,4.6,1,1.1,52,7.0,7.4,10.2,152.5,99.3,7,44,7.4,6.02,6.39,,,2,222,30,,68.2
3,2021,25,WAS,,8.0,2,0,,12,19,63.2,120,1,5.3,0,0.0,19,6.3,7.4,10.0,60.0,98.6,2,5,9.5,5.48,6.43,,,0,222,6,,24.6
4,Career,Career,,,,21,17,7-10-0,395,626,63.1,4318,24,3.8,17,2.7,53,6.9,6.4,10.9,205.6,84.9,55,446,8.1,5.69,5.27,0.0,1.0,10,222,235,,
5,2 yrs,2 yrs,CAR,,,15,13,6-7-0,323,520,62.1,3588,19,3.7,16,3.1,53,6.9,6.2,11.1,239.2,82.0,46,397,8.1,5.64,5.04,0.0,1.0,8,222,199,,
6,2 yrs,2 yrs,WAS,,,6,4,1-3-0,72,106,67.9,730,5,4.7,1,0.9,52,6.9,7.4,10.1,121.7,99.2,9,49,7.8,5.92,6.4,,,2,222,36,,
0,1969,22,NOR,,14.0,6,0,,31,52,59.6,403,0,0.0,0,0.0,32,7.8,7.8,13.0,67.2,84.1,3,18,5.5,7.0,7.0,1,1,2,223,,,
1,1970,23,NOR,qb,14.0,10,4,0-3-1,78,175,44.6,1133,5,2.9,5,2.9,49,6.5,5.8,14.5,113.3,63.8,9,77,4.9,5.74,5.06,0,0,4,223,,,
2,1971,24,NOR,qb,14.0,14,4,1-3-0,96,210,45.7,1191,6,2.9,5,2.4,49,5.7,5.2,12.4,85.1,63.4,10,68,4.5,5.1,4.63,2,1,6,223,,,
3,1972,25,NOR,,14.0,14,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,0,0,0,223,,,
4,1973,26,HOU,,14.0,5,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,0,0,0,223,,,
5,Career,Career,,,,49,8,1-6-1,205,437,46.9,2727,11,2.5,10,2.3,49,6.2,5.7,13.3,55.7,66.0,22,163,4.8,5.59,5.08,3,2,12,223,,,
6,4 yrs,4 yrs,NOR,,,44,8,1-6-1,205,437,46.9,2727,11,2.5,10,2.3,49,6.2,5.7,13.3,62.0,66.0,22,163,4.8,5.59,5.08,3,2,12,223,,,
7,1 yr,1 yr,HOU,,,5,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,0,0,0,223,,,
0,1983,22,DEN,,8.0,4,1,1-0-0,12,22,54.5,186,1,4.5,1,4.5,78,8.5,7.3,15.5,46.5,79.0,2,20,8.3,6.92,5.88,,,1,224,,,
1,1984,23,DEN,,8.0,7,2,1-1-0,44,75,58.7,440,4,5.3,1,1.3,41,5.9,6.3,10.0,62.9,87.6,10,86,11.8,4.16,4.58,2.0,2.0,2,224,,,
2,1985,24,DEN,,8.0,16,0,,2,5,40.0,61,1,20.0,0,0.0,54,12.2,16.2,30.5,3.8,125.8,0,0,0.0,12.2,16.2,0.0,1.0,0,224,,,
3,1986,25,DEN,,8.0,16,0,,23,38,60.5,249,1,2.6,3,7.9,26,6.6,3.5,10.8,15.6,55.7,3,23,7.3,5.51,2.71,,,1,224,,,
4,1987,26,DEN,,8.0,12,0,,3,7,42.9,25,0,0.0,2,28.6,17,3.6,-9.3,8.3,2.1,13.1,2,14,22.2,1.22,-8.78,,,0,224,,,
5,1988,27,DEN,,8.0,16,1,0-1-0,43,69,62.3,497,5,7.2,3,4.3,68,7.2,6.7,11.6,31.1,90.1,2,13,2.8,6.82,6.32,1.0,0.0,2,224,,,
6,1989,28,DEN,,8.0,16,1,1-0-0,32,55,58.2,284,2,3.6,2,3.6,22,5.2,4.3,8.9,17.8,69.1,8,53,12.7,3.67,2.87,,,1,224,,,
7,1990,29,DEN,,8.0,16,0,,11,22,50.0,145,0,0.0,4,18.2,36,6.6,-1.6,13.2,9.1,31.6,3,19,12.0,5.04,-2.16,,,1,224,,,
8,1991,30,DEN,,8.0,16,0,,3,5,60.0,33,0,0.0,0,0.0,14,6.6,6.6,11.0,2.1,79.6,1,8,16.7,4.17,4.17,,,0,224,,,
9,Career,Career,,,,119,5,3-2-0,173,298,58.1,1920,14,4.7,16,5.4,78,6.4,5.0,11.1,16.1,70.6,31,236,9.4,5.12,3.78,3.0,3.0,8,224,,,
0,2014,22,CLE,,2.0,5,2,0-2-0,18,35,51.4,175,0,0.0,2,5.7,32,5.0,2.4,9.7,35.0,42.0,3,26,7.9,3.92,1.55,,,0,225,6,,7.3
1,2015,23,CLE,qb,2.0,9,6,2-4-0,129,223,57.8,1500,7,3.1,5,2.2,61,6.7,6.3,11.6,166.7,79.4,19,141,7.9,5.62,5.26,,,4,225,72,,58.6
2,Career,Career,,,,14,8,2-6-0,147,258,57.0,1675,7,2.7,7,2.7,61,6.5,5.8,11.4,119.6,74.4,22,167,7.9,5.39,4.76,,,4,225,78,,
0,2010,25,DAL,,7.0,2,1,1-0-0,22,44,50.0,238,2,4.5,0,0,37,5.4,6.3,10.8,119.0,81.4,3,25,6.4,4.53,5.38,1.0,1.0,1,226,9,,64.5
1,2011,26,DAL,,7.0,1,0,,24,38,63.2,182,1,2.6,0,0,19,4.8,5.3,7.6,182.0,83.4,3,25,7.3,3.83,4.32,,,1,226,11,,47.7
2,Career,Career,,,,3,1,1-0-0,46,82,56.1,420,3,3.7,0,0,37,5.1,5.9,9.1,140.0,82.4,6,50,6.8,4.2,4.89,1.0,1.0,2,226,20,,
0,2021,22,MIN,,11.0,1,0.0,,2,3,66.7,5,0,0,0,0,6,1.7,1.7,2.5,5.0,70.1,0,0,0,1.67,1.67,,,0,228,,,14.9
1,Career,Career,,,,1,,,2,3,66.7,5,0,0,0,0,6,1.7,1.7,2.5,5.0,70.1,0,0,0,1.67,1.67,,,0,228,0.0,,
0,2019,22,ARI,QB,1.0,16,16,5-10-1,349,542,64.4,3722,20,3.7,12,2.2,88,6.9,6.6,10.7,232.6,87.4,48,309,8.1,5.78,5.55,1,2,14,229,173,AP ORoY-1,57.7
1,2020*,23,ARI,QB,1.0,16,16,8-8-0,375,558,67.2,3971,26,4.7,12,2.2,80,7.1,7.1,10.6,248.2,94.3,27,176,4.6,6.49,6.45,3,4,16,229,205,PB,61.9
2,2021*,24,ARI,QB,1.0,14,14,9-5-0,333,481,69.2,3787,24,5.0,10,2.1,77,7.9,7.9,11.4,270.5,100.6,31,286,6.1,6.84,6.9,1,1,16,229,172,PB,57.3
3,Career,Career,,,,46,46,22-23-1,1057,1581,66.9,11480,70,4.4,34,2.2,88,7.3,7.2,10.9,249.6,93.9,106,771,6.3,6.35,6.27,5,7,46,229,550,,
0,1992,23,HOU,,7.0,7,0,,0,0,,0,0,,0,,0,,,,0.0,,1,7,100.0,-7.0,-7.0,,,0,230,,,
1,1993,24,HOU,,7.0,2,0,,3,4,75.0,55,0,0.0,0,0.0,34,13.8,13.8,18.3,27.5,116.7,1,8,20.0,9.4,9.4,,,0,230,,,
2,1994,25,HOU,qb,7.0,7,4,1-3-0,94,181,51.9,1202,6,3.3,6,3.3,76,6.6,5.8,12.8,171.7,70.3,23,136,11.3,5.23,4.49,,,3,230,61.0,,
3,Career,Career,,,,16,4,1-3-0,97,185,52.4,1257,6,3.2,6,3.2,76,6.8,6.0,13.0,78.6,71.4,25,151,11.9,5.27,4.55,,,3,230,61.0,,
0,1966,24,DET,QB,14.0,10,8,2-5-1,157,309,50.8,1809,4,1.3,14,4.5,99,5.9,4.1,11.5,180.9,54.3,24,225,7.2,4.76,3.11,1.0,0.0,6,231,,"AP RoY-3, UPI RoY-3",
1,1967,25,DET,QB,14.0,10,8,4-3-1,74,177,41.8,901,10,5.6,11,6.2,52,5.1,3.4,12.2,90.1,51.1,16,111,8.3,4.09,2.56,,,2,231,,,
2,1968,26,NOR,,14.0,5,3,0-2-1,27,78,34.6,318,1,1.3,9,11.5,42,4.1,-0.9,11.8,63.6,12.6,5,29,6.0,3.48,-1.16,,,1,231,,,
3,1969,27,RAM,,10.0,5,0,,5,13,38.5,101,1,7.7,0,0.0,67,7.8,9.3,20.2,20.2,92.1,1,4,7.1,6.93,8.36,,,0,231,,,
4,1970,28,RAM,,10.0,6,0,,6,13,46.2,81,1,7.7,0,0.0,22,6.2,7.8,13.5,13.5,92.1,2,15,13.3,4.4,5.73,,,0,231,,,
5,Career,Career,,,,36,19,6-10-3,269,590,45.6,3210,17,2.9,34,5.8,99,5.4,3.4,11.9,89.2,48.3,48,384,7.5,4.43,2.56,1.0,0.0,9,231,,,
6,2 yrs,2 yrs,DET,,,20,16,6-8-2,231,486,47.5,2710,14,2.9,25,5.1,99,5.6,3.8,11.7,135.5,53.1,40,336,7.6,4.51,2.91,1.0,0.0,8,231,,,
7,2 yrs,2 yrs,RAM,,,11,0,,11,26,42.3,182,2,7.7,0,0.0,67,7.0,8.5,16.5,16.5,92.1,3,19,10.3,5.62,7.0,,,0,231,,,
8,1 yr,1 yr,NOR,,,5,3,0-2-1,27,78,34.6,318,1,1.3,9,11.5,42,4.1,-0.9,11.8,63.6,12.6,5,29,6.0,3.48,-1.16,,,1,231,,,
0,2012,24,MIA,QB,17.0,16,16,7-9-0,282,484,58.3,3294,12,2.5,13,2.7,80,6.8,6.1,11.7,205.9,76.1,35,234,6.7,5.9,5.23,1,1,10,232,151,,48.4
1,2013,25,MIA,QB,17.0,16,16,8-8-0,355,588,60.4,3913,24,4.1,17,2.9,67,6.7,6.2,11.0,244.6,81.7,58,399,9.0,5.44,5.0,4,3,11,232,204,,48.4
2,2014,26,MIA,QB,17.0,16,16,8-8-0,392,590,66.4,4045,27,4.6,12,2.0,50,6.9,6.9,10.3,252.8,92.8,46,337,7.2,5.83,5.83,2,1,14,232,225,,59.3
3,2015,27,MIA,QB,17.0,16,16,6-10-0,363,586,61.9,4208,24,4.1,12,2.0,54,7.2,7.1,11.6,263.0,88.7,45,420,7.1,6.0,5.91,2,2,10,232,195,,45.6
4,2016,28,MIA,QB,17.0,13,13,8-5-0,261,389,67.1,2995,19,4.9,12,3.1,74,7.7,7.3,11.5,230.4,93.5,29,216,6.9,6.65,6.27,3,3,10,232,134,,48.6
5,2018,30,MIA,QB,17.0,11,11,5-6-0,176,274,64.2,1979,17,6.2,9,3.3,75,7.2,7.0,11.2,179.9,92.7,35,279,11.3,5.5,5.29,3,3,6,232,92,,33.2
6,2019*,31,TEN,QB,17.0,12,10,7-3-0,201,286,70.3,2742,22,7.7,6,2.1,91,9.6,10.2,13.6,228.5,117.5,31,212,9.8,7.98,8.52,2,3,11,232,126,"AP CPoY-1, PB",64.2
7,2020,32,TEN,QB,17.0,16,16,11-5-0,315,481,65.5,3819,33,6.9,7,1.5,75,7.9,8.7,12.1,238.7,106.5,24,173,4.8,7.22,7.9,5,6,16,232,202,,72.6
8,2021,33,TEN,QB,17.0,17,17,12-5-0,357,531,67.2,3734,21,4.0,14,2.6,57,7.0,6.6,10.5,219.6,89.6,47,327,8.1,5.89,5.53,3,4,13,232,192,,55.9
9,Career,Career,,,,133,131,72-59-0,2702,4209,64.2,30729,199,4.7,102,2.4,91,7.3,7.2,11.4,231.0,91.7,350,2597,7.7,6.17,6.04,25,26,101,232,1521,,
10,6 yrs,6 yrs,MIA,,,88,88,42-46-0,1829,2911,62.8,20434,123,4.2,75,2.6,80,7.0,6.7,11.2,232.2,87.0,248,1885,7.9,5.87,5.58,15,13,61,232,1001,,
11,3 yrs,3 yrs,TEN,,,45,43,30-13-0,873,1298,67.3,10295,76,5.9,27,2.1,91,7.9,8.2,11.8,228.8,102.0,102,712,7.3,6.85,7.06,10,13,40,232,520,,
0,1996,23,STL,QB,12.0,14,13,5-8-0,192,368,52.2,2544,15,4.1,15,4.1,77,6.9,5.9,13.3,181.7,71.0,48,306,11.5,5.38,4.48,,,9,233,106,,
1,1997,24,STL,QB,12.0,16,16,5-11-0,252,487,51.7,3254,14,2.9,13,2.7,76,6.7,6.1,12.9,203.4,71.5,43,317,8.1,5.54,4.97,1.0,2.0,10,233,152,,
